date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:39:42	15392/15392	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:42%20GMT	http://themeperfect.me/legalpress/assets/images/3-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/3-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:44	15543/15543	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:27%20GMT	http://themeperfect.me/legalpress/assets/images/2-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/2-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:45	15351/15351	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:19%20GMT	http://themeperfect.me/legalpress/assets/images/17-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/17-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:47	12014/12014	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:11%20GMT	http://themeperfect.me/legalpress/assets/images/10-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/10-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:47	12470/12470	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:15%20GMT	http://themeperfect.me/legalpress/assets/images/15-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/15-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:49	11829/11829	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:17%20GMT	http://themeperfect.me/legalpress/assets/images/16-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/16-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:49	12783/12783	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:22%20GMT	http://themeperfect.me/legalpress/assets/images/18-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/18-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:51	7380/7380	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:41%20GMT	http://themeperfect.me/legalpress/assets/images/3-180x180.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/3-180x180.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:51	13976/13976	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:35%20GMT	http://themeperfect.me/legalpress/assets/images/21-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/21-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:52	4222/4222	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:38%20GMT	http://themeperfect.me/legalpress/assets/images/23-180x180.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/23-180x180.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:52	3836/3836	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:30%20GMT	http://themeperfect.me/legalpress/assets/images/20-180x180.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/20-180x180.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:53	7383/7383	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:26%20GMT	http://themeperfect.me/legalpress/assets/images/2-180x180.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/2-180x180.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:53	5978/5978	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:22%20GMT	http://themeperfect.me/legalpress/assets/images/18-180x180.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/18-180x180.jpg	(from http://themeperfect.me/legalpress/shop.html)
23:39:54	6474/6474	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:34:08%20GMT	http://themeperfect.me/legalpress/assets/images/avatar.jpeg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/avatar.jpg	(from http://themeperfect.me/legalpress/post.html)
23:39:56	15879/15879	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Jul%202016%2008:33:53%20GMT	http://themeperfect.me/legalpress/assets/images/404.png	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/404.png	(from http://themeperfect.me/legalpress/404.html)
23:46:06	5503527/5503527	---M--	200	added ('OK')	video/webm	date:Tue,%2012%20Jul%202016%2008:36:31%20GMT	http://themeperfect.me/legalpress/assets/video/video.webm	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/video/video.webm	(from http://themeperfect.me/legalpress/index_video.html)
23:46:59	6803972/6803972	---M--	200	added ('OK')	video/mp4	date:Tue,%2012%20Jul%202016%2008:36:10%20GMT	http://themeperfect.me/legalpress/assets/video/video.mp4	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/video/video.mp4	(from http://themeperfect.me/legalpress/index_video.html)
23:46:59	19549/19549	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:42%20GMT	http://themeperfect.me/legalpress/assets/images/3.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/3.jpg	(from http://themeperfect.me/legalpress/shop-single.html)
